time_step,stress_t,stress_tdt,pl_strain_t,pl_strain_tdt,el_strain_t,el_strain_tdt,strain_t,strain_tdt,energy_tdt,dissipation_rate,group,strain_dynamic_tdt,stress_dynamic_tdt
127,141.0746016,141.1203304,-5.37E-06,9.44E-05,0.000705373,0.000705602,0.0007,0.0008,0.09238706,0.014079767,0,-0.003,-0.4785903
128,141.1203304,141.1600287,9.44E-05,0.0001942,0.000705602,0.0007058,0.0008,0.0009,0.092415009,0.014087984,0,-0.003,-0.4785903
129,141.1600287,141.1944916,0.0001942,0.000294028,0.0007058,0.000705972,0.0009,0.001,0.092439295,0.014095119,0,-0.003,-0.4785903
130,141.1944916,141.2244098,0.000294028,0.000393878,0.000705972,0.000706122,0.001,0.0011,0.092460479,0.014101315,0,-0.003,-0.4785903
131,141.2244098,141.2503824,0.000393878,0.000493748,0.000706122,0.000706252,0.0011,0.0012,0.092478841,0.014106695,0,-0.003,-0.4785903
132,141.2503824,141.2729298,0.000493748,0.000593635,0.000706252,0.000706365,0.0012,0.0013,0.092494805,0.014111366,0,-0.003,-0.4785903
133,141.2729298,141.2925038,0.000593635,0.000693537,0.000706365,0.000706463,0.0013,0.0014,0.092508652,0.014115422,0,-0.003,-0.4785903
134,141.2925038,141.3094964,0.000693537,0.000793453,0.000706463,0.000706547,0.0014,0.0015,0.092520522,0.014118944,0,-0.003,-0.4785903
135,141.3094964,141.3242481,0.000793453,0.000893379,0.000706547,0.000706621,0.0015,0.0016,0.09253098,0.014122001,0,-0.003,-0.4785903
136,141.3242481,141.3370544,0.000893379,0.000993315,0.000706621,0.000706685,0.0016,0.0017,0.092540025,0.014124655,0,-0.003,-0.4785903
137,141.3370544,141.3481718,0.000993315,0.001093259,0.000706685,0.000706741,0.0017,0.0018,0.092547941,0.01412696,0,-0.003,-0.4785903
138,141.3481718,141.3578231,0.001093259,0.001193211,0.000706741,0.000706789,0.0018,0.0019,0.092554726,0.014128961,0,-0.003,-0.4785903
139,141.3578231,141.3662017,0.001193211,0.001293169,0.000706789,0.000706831,0.0019,0.002,0.092560663,0.014130698,0,-0.003,-0.4785903
140,141.3662017,141.3734753,0.001293169,0.001393133,0.000706831,0.000706867,0.002,0.0021,0.092565753,0.014132206,0,-0.003,-0.4785903
141,141.3734753,141.3797896,0.001393133,0.001493101,0.000706867,0.000706899,0.0021,0.0022,0.092570277,0.014133515,0,-0.003,-0.4785903
142,141.3797896,141.3852713,0.001493101,0.001593074,0.000706899,0.000706926,0.0022,0.0023,0.092574094,0.014134652,0,-0.003,-0.4785903
143,141.3852713,141.3900301,0.001593074,0.00169305,0.000706926,0.00070695,0.0023,0.0024,0.092577488,0.014135639,0,-0.003,-0.4785903
144,141.3900301,141.3941613,0.00169305,0.001793029,0.00070695,0.000706971,0.0024,0.0025,0.092580457,0.014136495,0,-0.003,-0.4785903
145,141.3941613,141.3977476,0.001793029,0.001893011,0.000706971,0.000706989,0.0025,0.0026,0.092583002,0.014137239,0,-0.003,-0.4785903
146,141.3977476,141.4008611,0.001893011,0.001992996,0.000706989,0.000707004,0.0026,0.0027,0.092585123,0.014137885,0,-0.003,-0.4785903
147,141.4008611,141.4035639,0.001992996,0.002092982,0.000707004,0.000707018,0.0027,0.0028,0.092587103,0.014138445,0,-0.003,-0.4785903
148,141.4035639,141.4059103,0.002092982,0.00219297,0.000707018,0.00070703,0.0028,0.0029,0.0925888,0.014138932,0,-0.003,-0.4785903
149,141.4059103,141.4079473,0.00219297,0.00229296,0.00070703,0.00070704,0.0029,0.003,0.092590214,0.014139355,0,-0.003,-0.4785903
150,141.4079473,141.4097156,0.00229296,0.002392951,0.00070704,0.000707049,0.003,0.0031,0.092591486,0.014139721,0,-0.003,-0.4785903
151,141.4097156,141.4112507,0.002392951,0.002492944,0.000707049,0.000707056,0.0031,0.0032,0.092592476,0.01414004,0,-0.003,-0.4785903
152,141.4112507,141.4125834,0.002492944,0.002592937,0.000707056,0.000707063,0.0032,0.0033,0.092593466,0.014140316,0,-0.003,-0.4785903
153,141.4125834,141.4137403,0.002592937,0.002692931,0.000707063,0.000707069,0.0033,0.0034,0.092594315,0.014140556,0,-0.003,-0.4785903
154,141.4137403,141.4147447,0.002692931,0.002792926,0.000707069,0.000707074,0.0034,0.0035,0.092595022,0.014140764,0,-0.003,-0.4785903
155,141.4147447,141.4156166,0.002792926,0.002892922,0.000707074,0.000707078,0.0035,0.0036,0.092595587,0.014140945,0,-0.003,-0.4785903
156,141.4156166,141.4163735,0.002892922,0.002992918,0.000707078,0.000707082,0.0036,0.0037,0.092596153,0.014141102,0,-0.003,-0.4785903
157,141.4163735,141.4170306,0.002992918,0.003092915,0.000707082,0.000707085,0.0037,0.0038,0.092596577,0.014141238,0,-0.003,-0.4785903
158,141.4170306,141.4176011,0.003092915,0.003192912,0.000707085,0.000707088,0.0038,0.0039,0.092597001,0.014141357,0,-0.003,-0.4785903
159,141.4176011,141.4180963,0.003192912,0.00329291,0.000707088,0.00070709,0.0039,0.004,0.092597284,0.014141459,0,-0.003,-0.4785903
160,141.4180963,104.1182038,0.00329291,0.003379409,0.00070709,0.000520591,0.004,0.0039,0.073179343,0.009006169,0,0,7.86399385
161,104.1182038,71.73729258,0.003379409,0.003441314,0.000520591,0.000358686,0.0039,0.0038,0.061564717,0.004440865,0,0,7.86399385
162,71.73729258,43.62666438,0.003441314,0.003481867,0.000358686,0.000218133,0.0038,0.0037,0.055432858,0.001769198,0,0,7.86399385
163,43.62666438,19.22316899,0.003481867,0.003503884,0.000218133,9.61E-05,0.0037,0.0036,0.053086998,0.000423246,0,0,7.86399385
164,19.22316899,-1.962077516,0.003503884,0.00350981,9.61E-05,-9.81E-06,0.0036,0.0035,5.33E-02,-1.16E-05,0,0,7.86399385
165,-1.962077516,-20.3534867,0.00350981,0.003501767,-9.81E-06,-0.000101767,0.0035,0.0034,0.055166447,0.000163702,0,0,7.86399385
166,-20.3534867,-36.31950021,0.003501767,0.003481598,-0.000101767,-0.000181598,0.0034,0.0033,0.058065869,0.000732562,0,0,7.86399385
